CRASH_RECORD_ID,by_year_crash_date,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,ROAD_DEFECT
1,01/01/2019 12:00:00 AM,FLASHING CONTROL SIGNAL,NOT FUNCTIONING,UNKNOWN
1,01/01/2022 12:00:00 AM,DELINEATORS,FUNCTIONING PROPERLY,UNKNOWN
13,01/01/2019 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING PROPERLY,UNKNOWN
6,01/01/2021 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,OTHER
1,01/01/2020 12:00:00 AM,NO CONTROLS,UNKNOWN,"RUT, HOLES"
2,01/01/2020 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,"RUT, HOLES"
2033,01/01/2023 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN
1,01/01/2021 12:00:00 AM,OTHER REG. SIGN,NOT FUNCTIONING,NO DEFECTS
1,01/01/2023 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING IMPROPERLY,UNKNOWN
4,01/01/2019 12:00:00 AM,NO CONTROLS,NOT FUNCTIONING,"RUT, HOLES"
139,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,UNKNOWN,NO DEFECTS
401,01/01/2020 12:00:00 AM,NO CONTROLS,UNKNOWN,NO DEFECTS
2,01/01/2021 12:00:00 AM,SCHOOL ZONE,UNKNOWN,UNKNOWN
1,01/01/2022 12:00:00 AM,POLICE/FLAGMAN,NO CONTROLS,UNKNOWN
6,01/01/2023 12:00:00 AM,RR CROSSING SIGN,FUNCTIONING PROPERLY,NO DEFECTS
7,01/01/2022 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2023 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,WORN SURFACE
2,01/01/2021 12:00:00 AM,POLICE/FLAGMAN,WORN REFLECTIVE MATERIAL,NO DEFECTS
2,01/01/2020 12:00:00 AM,PEDESTRIAN CROSSING SIGN,WORN REFLECTIVE MATERIAL,NO DEFECTS
6,01/01/2023 12:00:00 AM,RAILROAD CROSSING GATE,NO CONTROLS,NO DEFECTS
1,01/01/2019 12:00:00 AM,UNKNOWN,NOT FUNCTIONING,UNKNOWN
